query,date,age,gender
vaginal_bleeding_after_menopause,20210513,NULL,NULL
vaginal_bleeding_after_menopause,20210513,NULL,NULL
sage_tablets_for_menopause,20211031,NULL,NULL
sage_tablets_for_menopause,20211031,NULL,NULL
wild_yam_cream_for_menopause,20220129,NULL,NULL
wild_yam_cream_for_menopause,20220129,NULL,NULL
vaginal_discharge_after_menopause,20210510,NULL,NULL
vaginal_discharge_after_menopause,20210510,NULL,NULL
menopause_academy_companies_house,20210430,NULL,NULL
menopause_academy_companies_house,20210430,NULL,NULL
sage_menopause,20211221,NULL,NULL
sore_nipples_menopause,20210921,NULL,NULL
lorraine_kelly_menopause,20211017,45to54,Female
lorraine_kelly_menopause,20211017,45to54,Female
pantene_hair_biology_menopause,20210930,55to64,Male
pantene_hair_biology_menopause,20210930,55to64,Male
sage_tablets_for_the_menopause,20210930,65Plus,Female
sage_tablets_for_the_menopause,20210930,65Plus,Female
sage_for_menopause,20211215,NULL,NULL
sage_for_menopause,20211215,NULL,NULL
menopause_itchy_skin,20210804,NULL,NULL
menopause_itchy_skin,20210804,NULL,NULL
brighton_beach_menopause,20210722,NULL,NULL
menopause_hot_flashes_natural_remedies,20210614,NULL,NULL
menopause_night_sweats,20210614,NULL,NULL
menopause_hot_flashes,20210614,NULL,NULL
menopause_hot_flashes_natural_remedies,20210614,NULL,NULL
menopause_hot_flashes,20210614,NULL,NULL
dr_menopause,20210512,NULL,NULL
dr_menopause,20210512,NULL,NULL
red_clover_menopause,20210512,NULL,NULL
red_clover_menopause,20210512,45to54,Female
red_clover_menopause,20210512,NULL,NULL
red_clover_menopause,20210512,NULL,NULL
red_clover_menopause,20210512,NULL,NULL
red_clover_menopause,20210512,45to54,Female
vaginal_discharge_after_menopause,20210811,NULL,NULL
vaginal_discharge_after_menopause,20210811,NULL,NULL
menopause_taylor,20211017,NULL,NULL
menopause_taylor,20211017,NULL,NULL
johnson_c_roberts_l_elkins_g_2019_complementary_and_alternative_medicine_for_menopause_journal_of_evidence_based_integrative_medicine_httpsdoiorg1011772515690x19829380,20211202,NULL,NULL
johnson_c_roberts_l_elkins_g_2019_complementary_and_alternative_medicine_for_menopause_journal_of_evidence_based_integrative_medicine_httpsdoiorg1011772515690x19829380,20211202,NULL,NULL
loreal_paris_menopause,20211202,45to54,Female
meg_matthews_menopause,20211202,NULL,NULL
menopause_kendall,20210423,NULL,NULL
kendall_menopause,20210423,NULL,NULL
columbia_menopause_hormone_therapy,20210722,NULL,NULL
thyroid_and_perimenopause,20210417,NULL,NULL
perimenopause_still_such_mystery,20210504,25to34,-1
weber_mt_rubin_lh_maki_pm_2013_cognition_in_perimenopause_the_effect_of_transition_stage_menopause_20_5_5117,20211202,NULL,NULL
