query,date,age,gender,city,state
06_honds_crf_124f_plastics,20211108,25to34,Male,13042,24554868
acerbis_plastics,20211103,45to54,Male,NULL,24554868
across_globe_are_evolving_plastic_study,20211215,18to24,Male,15726,24554868
across_globe_evolving_to_eat_plastic,20211215,35to44,Male,44418,24554868
across_globe_evolving_to_eat_plastic,20211215,45to54,Male,44418,24554868
amanda_holden_plastic_surgery,20210528,55to64,Female,NULL,12578048
amanda_staveley_plastic_surgery,20211019,55to64,Male,17044,24554868
amari_plastics,20210907,65Plus,NULL,24775,24554868
amari_plastics,20210917,35to44,Male,35564,24554868
amazon_clear_plastic_bags,20210924,55to64,Male,44418,24554868
amazon_plastic_models,20211117,65Plus,Male,40511,24554868
amazon_plastic_plant_pots,20211022,65Plus,Male,12611,24554868
amazon_prime_plastic_fascia,20210705,65Plus,Female,NULL,12578049
amazon_yardware_plastic_greenhouse_hook,20210621,65Plus,Male,NULL,12578049
anticovid_plastic_barriers_may_make_worse,20210821,45to54,Male,44418,24554868
anticovid_plastic_classrooms_make_things_worse,20210820,55to64,Male,44418,24554868
asda_plastic_storage_boxes_with_lids,20211213,65Plus,Female,17095,24554868
ashley_judd_plastic_surgery,20211113,65Plus,Male,33887,24554868
audi_a6_allroad_a6_tdi_boot_plastic_cover_for_sale,20211202,45to54,Male,21236,24554868
b_and_m_plastic_soup_mug_with_lid,20211207,55to64,Female,36135,12578048
b_q_plastic_sheds,20210814,65Plus,Female,NULL,12578049
bamboo_eco_plastic_lunch_tupperware_rounded,20211214,35to44,Male,12056,24554868
barrier_plastic_waste_before_it_can,20210609,25to34,NULL,19578,24554868
bm_plastic_stacking_drawers,20211125,65Plus,Female,20317,12578049
bondic_liquid_plastic_welder,20211213,65Plus,Male,10559,24554868
bp_plastics,20210815,55to64,Female,44418,24554868
bq_plastic_storage_boxes,20211116,55to64,Female,37024,24554868
bright_green_plastics,20211017,25to34,Female,NULL,24554868
brita_plastic_hose_connectors,20210621,65Plus,Male,35749,24554868
bugs_across_globe_are_to_plastic,20211215,35to44,Male,29353,24554868
bugs_across_globe_evolving_eat_plastic,20211215,35to44,Male,29353,24554868
ca_plastics,20210508,65Plus,Male,NULL,24554868
ca_plastics,20210516,65Plus,Male,NULL,24554868
carlton_plastics_saltash,20211026,45to54,Male,NULL,24554868
carol_vorderman_plastic_surgery,20210428,65Plus,Male,22717,24554868
carol_vorderman_plastic_surgery,20210503,65Plus,Female,13911,24554868
carol_vorderman_plastic_surgery,20210513,45to54,Female,44418,24554868
carol_vorderman_plastic_surgery,20210521,55to64,NULL,11478,24554868
carol_vorderman_plastic_surgery,20210727,65Plus,Female,28757,12578049
carol_vorderman_plastic_surgery,20210729,65Plus,Male,28835644,24554868
carol_vorderman_plastic_surgery,20210810,45to54,Male,NULL,12578048
carol_vorderman_plastic_surgery,20211007,65Plus,Male,27494,24554868
carol_vorderman_plastic_surgery,20211103,55to64,Male,28345,24554868
central_plastics,20211005,65Plus,Male,NULL,24554868
century_plastics,20210426,55to64,Female,NULL,24554868
century_plastics_sheffield,20211117,55to64,Male,17598,24554868
coop_plastic_recycling,20211204,65Plus,Female,15127,12578049
demi_mawby_plastic_surgery,20211124,25to34,Female,44418,24554868
denny_plastics,20210526,45to54,Male,44418,24554868
donatella_versace_plastic_surgery,20210430,45to54,Male,NULL,24554868
dont_fossil_fuel_industry_plastics_chemicals,20210831,18to24,Male,NULL,24554868
dr_dubrow_plastic_surgeon,20210420,65Plus,Female,NULL,24554868
duramax_plastic_sheds,20210902,65Plus,Female,NULL,24554868
ebay_ted_bake_blush_pink_body_spray_50ml_plastic,20211114,65Plus,Female,38822,24554868
enough_plastic_air,20211223,45to54,Male,44418,24554868
fablon_sticky_back_plastic,20210422,35to44,Female,NULL,24554868
fablon_sticky_back_plastic,20210426,55to64,Male,26035,24554868
famke_janssen_plastic_surgery,20211018,45to54,Male,29744,24554868
firms_produce_plastic_waste_report_reveals,20210519,35to44,Male,NULL,24554868
firms_produce_world_plastic_waste_report,20210519,25to34,Female,NULL,24554868
firms_world_plastic_waste_report,20210519,35to44,Male,NULL,24554868
ford_focus_wheel_plastic_hub_cap_2009,20211115,65Plus,Male,19792,24554868
french_company_plastics_enzymes_to_recycle,20211007,55to64,Female,44418,24554868
french_company_plastics_using_enzymes_recycle,20211007,35to44,Female,44418,24554868
fusor_plastic_repair_adhesives,20211110,65Plus,Male,35318,24554868
gap_plastics_wigan,20210725,65Plus,Female,40445,24554868
hahn_plastics,20210519,45to54,Male,31651,24554868
hdpe_plastic,20210815,25to34,Male,37073,24554868
helen_hunt_plastic_surgery,20210420,65Plus,Female,44418,24554868
high_study_finds_plastic,20211223,45to54,Male,25701,24554868
high_study_finds_plastic_air,20211222,18to24,Female,17951,24554868
horizon_plastics,20210903,45to54,Male,NULL,24554868
horizon_plastics,20211203,45to54,Male,32185,24554868
how_much_cardboard_and_plastic_does_amazon_use,20211104,45to54,Male,33887,24554868
hurst_plastics,20210630,65Plus,Male,NULL,24554868
hurst_plastics,20210826,45to54,Male,NULL,24554868
ikea_plastics_boxes,20211120,65Plus,Female,24861,24554868
jamie_lee_curtis_plastic_surgery,20211007,55to64,Male,14979,24554868
jdp_plastics,20210623,55to64,Female,NULL,12578049
joining_plastic_glass_metal_recycle_fake,20210902,35to44,Male,15645,24554868
joining_plastic_glass_recycle_list,20210902,55to64,Male,44418,24554868
katherine_ryan_plastic_surgery,20210508,55to64,Male,NULL,24554868
keter_plastic_sheds,20210831,65Plus,Male,10260,12578049
king_kits_plastic_models,20211117,65Plus,Male,28835491,24554868
king_kits_plastic_models,20211126,65Plus,Male,26734,24554868
kplastics_ashington,20211212,Below13,Male,39246,24554868
kylie_jenner_plastic_surgery_before_and_after,20210518,65Plus,NULL,NULL,24554868
lakeland_plastics,20210422,65Plus,Female,NULL,24554868
lakeland_plastics,20210423,65Plus,NULL,NULL,24554868
lakeland_plastics,20210504,65Plus,Female,NULL,24554868
lakeland_plastics,20210513,65Plus,Female,NULL,24554868
lakeland_plastics,20210519,45to54,Male,10243,12578048
lakeland_plastics,20210520,65Plus,Male,92156007,24554868
lakeland_plastics,20210522,65Plus,Female,44418,24554868
lakeland_plastics,20210524,65Plus,Female,NULL,24554868
lakeland_plastics,20210527,65Plus,Female,30061,24554868
lakeland_plastics,20210528,65Plus,Female,NULL,24554868
lakeland_plastics,20210607,65Plus,Female,32485,24554868
lakeland_plastics,20210615,65Plus,Male,44418,24554868
lakeland_plastics,20210619,65Plus,Female,37705,24554868
lakeland_plastics,20210625,35to44,Female,30647,24554868
lakeland_plastics,20210703,55to64,Female,NULL,24554868
lakeland_plastics,20210706,65Plus,Female,NULL,24554868
lakeland_plastics,20210731,55to64,Female,NULL,NULL
lakeland_plastics,20210806,65Plus,Male,NULL,24554868
lakeland_plastics,20210815,65Plus,Female,NULL,24554868
lakeland_plastics,20210820,65Plus,Female,30704,24554868
lakeland_plastics,20210902,65Plus,NULL,NULL,24554868
lakeland_plastics,20210908,65Plus,Female,NULL,24554868
lakeland_plastics,20210912,65Plus,Female,22619,24554868
lakeland_plastics,20210922,65Plus,Female,NULL,24554868
lakeland_plastics,20211006,65Plus,Female,32277,12578049
lakeland_plastics,20211015,35to44,Male,38952,24554868
lakeland_plastics,20211020,65Plus,Male,NULL,24554868
lakeland_plastics,20211101,65Plus,Female,11959,24554868
lakeland_plastics,20211124,65Plus,Female,19344,12578048
lakeland_plastics,20211212,65Plus,Female,44418,24554868
lakeland_plastics_stainless_steel_fryingpan,20211212,65Plus,Female,40611,24554868
lana_rhoades_before_and_after_plastic_surgery,20210819,55to64,Male,44418,24554868
lauren_graham_plastic_surgery,20211202,65Plus,Male,26734,24554868
let_fossil_fuel_industry_toxic_plastics,20210828,35to44,Male,NULL,24554868
linda_tripp_plastic_surgery,20210912,45to54,NULL,19792,24554868
loctite_glue_for_hard_plastics,20211227,65Plus,Male,16841,24554868
madonna_plastic_surgery,20210417,45to54,Male,13911,24554868
makes_mouse_plastic,20211008,35to44,Male,NULL,24554868
makes_ocean_plastic,20211008,35to44,Male,44418,24554868
maura_higgins_plastic_surgery_before_and_after,20211106,65Plus,Male,34274,24554868
microsoft_from_recycled_ocean_plastic,20211008,18to24,Female,NULL,24554868
microsoft_makes_from_ocean_plastic,20211015,18to24,Male,33814,12578048
microsoft_makes_from_recycled_ocean_plastic,20211007,55to64,Male,44418,24554868
microsoft_makes_from_recycled_ocean_plastic,20211015,18to24,Male,33814,12578048
microsoft_makes_from_recycled_plastic,20211008,25to34,Male,34711,24554868
microsoft_makes_mouse_from_recycled_plastic,20211007,55to64,Male,44418,24554868
microsoft_makes_recycled_ocean_plastic,20211008,18to24,Female,NULL,24554868
mountain_high_finds_plastic_clean,20211222,65Plus,NULL,13017,24554868
mountain_high_study_plastic_clean_air,20211224,18to24,Male,44418,24554868
mr_plastic,20210907,35to44,Male,30704,24554868
mr_plastic,20210915,55to64,Male,44418,24554868
national_plastic,20210925,35to44,Male,NULL,24554868
national_plastics,20210416,65Plus,Male,NULL,12578049
national_plastics,20210506,65Plus,NULL,41169,24554868
national_plastics,20210613,65Plus,Male,30079,24554868
national_plastics,20210715,35to44,Male,30165,12578049
national_plastics,20210724,45to54,Female,NULL,24554868
national_plastics,20210803,45to54,Male,39301,24554868
national_plastics,20210814,65Plus,NULL,41169,24554868
national_plastics_taunton,20210521,65Plus,Male,37024,24554868
national_plastics_taunton,20210523,65Plus,Male,37024,24554868
nintendo_switch_cartridge_plastic,20211205,35to44,Male,28262,24554868
no_plastics,20211129,65Plus,Female,13911,24554868
omega_plastics_aintree,20210424,65Plus,Male,26734,24554868
palram_plastic_sheds,20210425,65Plus,Male,NULL,24554868
perry_miniatures_plastics,20210608,65Plus,Male,NULL,24554868
perspex_plastics_liverpool,20210527,65Plus,Male,NULL,24554868
plastic_model_kits_yamaha_vmax,20211110,65Plus,Male,32792,24554868
plastic_water_tanks_for_lorry,20211130,45to54,Male,44984,20070563
premier_plastics,20210813,65Plus,Male,39246,24554868
preston_plastics,20210603,55to64,Male,25211,24554868
rhiwbina_against_plastic,20210828,45to54,Female,15127,12578049
rigid_plastic_sheet,20210922,65Plus,Male,NULL,24554868
rockwell_building_plastics,20210904,55to64,Male,92156007,24554868
rustins_plastic_coating,20211122,45to54,Male,23210,24554868
saffron_plastics,20211220,45to54,Male,13749,24554868
santiago_plastic_wood_products,20211228,65Plus,Male,44418,24554868
sea_trapping_plastic_waste_before_can,20210609,25to34,NULL,26734,24554868
sea_trapping_plastic_waste_before_it,20210608,25to34,NULL,19578,24554868
sea_trapping_plastic_waste_before_it,20210609,25to34,Male,NULL,24554868
sean_penn_plastic_surgery,20210711,55to64,Male,NULL,24554868
single_head_plastic_jerry_can_capping,20211216,55to64,Female,33429,24554868
sir_alan_sugar_plastic_surgery,20211106,45to54,Female,30169,24554868
spain_ban_plastic_wrapping,20210924,65Plus,Male,28218,24554868
spain_ban_sale_fruit_vegetables_plastic,20210923,25to34,Male,16017,24554868
spain_to_ban_plastic_wrapping,20210923,18to24,Female,NULL,24554868
spain_to_ban_sale_fruit_plastic,20210923,25to34,Male,44418,24554868
stockard_channing_plastic_surgery,20211227,45to54,Female,25595,24554868
superplastic_20m_series,20211021,18to24,Female,NULL,24554868
suprima_plastic_pants,20210918,55to64,Male,NULL,24554868
tara_reid_plastic_surgery,20210513,35to44,Female,44418,24554868
tesco_plastic_wine_glasses,20211230,55to64,Female,44418,24554868
tolesa_plastic_clamps_for_sale_ebay,20211214,65Plus,Female,15063,24554868
twenty_firms_produce_plastic,20210520,25to34,Male,NULL,24554868
twenty_firms_produce_plastic_report_reveals,20210519,25to34,Male,35653,24554868
twenty_firms_produce_plastic_waste_report,20210525,25to34,Male,35653,24554868
twenty_produce_plastic_waste_report,20210524,25to34,Male,35653,24554868
twenty_produce_plastic_waste_report_reveals,20210519,25to34,Female,32185,24554868
twenty_produce_world_plastic_waste_report,20210520,25to34,Female,32185,24554868
twenty_produce_world_plastic_waste_report,20210520,25to34,Male,NULL,24554868
u_plastics_ipswich,20210622,65Plus,Male,16545,24554868
vera_farmiga_plastic_surgery_bikini,20210520,55to64,Male,30720,24554868
whatmore_plastics,20210526,45to54,Male,NULL,24554868
whatmore_plastics,20210712,45to54,Male,NULL,24554868
whatmore_plastics,20210721,45to54,Male,NULL,24554868
whatmore_plastics,20210827,45to54,Male,NULL,24554868
whatmore_plastics,20210915,45to54,Male,NULL,24554868
whitby_jet_plastic,20211110,65Plus,Male,13963,24554868
why_anticovid_plastic_barriers_classrooms_restaurants,20210820,55to64,Male,44418,24554868
why_anticovid_plastic_make_things_worse,20210821,45to54,Male,44418,24554868
why_anticovid_plastic_make_worse,20210821,18to24,Male,NULL,24554868
why_plastic_barriers_classrooms_make_things,20210820,18to24,Male,NULL,24554868
why_plastic_barriers_classrooms_restaurants_make,20210819,18to24,Male,NULL,24554868
why_plastic_barriers_restaurants_may_worse,20210820,18to24,Male,NULL,24554868
wickes_diyplasticroofing,20211204,65Plus,Male,33887,24554868
wickes_plastic_dust_sheets,20211005,35to44,Male,44418,24554868
wickes_storage_boxes_plastic,20211105,65Plus,Female,33700,24554868
zac_efron_plastic_surgery,20210901,25to34,NULL,NULL,NULL
zac_efron_plastic_surgery_video,20210427,55to64,Female,40442,24554868
zimmer_frame_plastic_caddy,20211218,65Plus,Female,44418,24554868
32_approx_width_plastic_drawers_argos,20211109,65Plus,Female,24544,12578048
across_globe_are_evolving_eat_plastic,20211215,18to24,Male,34107,24554868
adidas_plastic_shoes,20211228,35to44,Male,12723,24554868
adirondack_chairs_plastic,20210709,45to54,Male,NULL,24554868
airfix_kits_plastic_kits,20211221,Below13,Male,14029,24554868
amari_plastics,20210712,65Plus,Male,44418,24554868
anticovid_plastic_barriers_make,20210821,45to54,Male,44418,24554868
anticovid_plastic_restaurants_make_worse,20210820,18to24,Male,NULL,24554868
argos_plastic_shelving_units,20210827,55to64,Male,NULL,24554868
arm_plasticarm,20210723,18to24,Male,NULL,24554868
arm_plasticarm,20210725,18to24,Male,NULL,24554868
barrier_trapping_plastic_waste_it_get,20210609,25to34,Male,13383,24554868
biodegradable_plastic_bags_are_now_being_made_from_polymers_and_what_other_substance,20211014,18to24,Female,32185,24554868
bogdanoff_brothers_plastic_surgery,20211228,55to64,Male,28082,24554868
bondic_liquid_plastic_welder,20210604,55to64,Male,NULL,24554868
bondic_liquid_plastic_welder,20211001,55to64,Female,NULL,24554868
bondic_liquid_plastic_welder,20211111,65Plus,Female,15205,12578048
bondic_liquid_plastic_welder_reviews,20211121,65Plus,Male,40182,24554868
bonnington_plastics,20210608,45to54,Male,NULL,24554868
bubble_barrier_plastic_waste_it_get,20210609,18to24,Male,NULL,24554868
bubble_barrier_trapping_plastic_before_can,20210609,25to34,Female,NULL,24554868
