query,date,age,gender
currency_exchange_rates,20210824,65+,Female
foreign_currency_currency,20220102,NULL,NULL
lefrover_currency_log_in,20210628,35-44,Male
can_you_cash_in_old_bank_foreign_notes,20210222,45-54,Male
traffic_updates_blackburn,20210506,55-64,Male
best_uk_travel_insurance_companies,20211223,65+,Male
travel_fx_exchange_rates,20210215,55-64,Male
sainsbury_foreign_currency,20210718,65+,Male
the_best_money_exchange_rate,20210519,65+,Female
travel_money_max,20210408,65+,Male
travel_fx,20210812,55-64,Male
money_exchange,20210217,65+,Male
post_office_currency_rates,20211015,65+,Male
pounds_to_euro,20210226,65+,Male
starling_bank_travel_card,20220121,65+,Male
travel_fx,20210216,65+,Female
best_credit_card_for_european_travel,20211008,45-54,Male
travel_money,20210826,15-24,Male
travel_money,20211110,55-64,Male
tourist_rates_of_exchange,20210920,65+,Male
how_to_sell_travellers_cheques,20210418,45-54,Female
travel_money_exchange,20210826,15-24,Male
currency_exchange_rates,20210827,65+,Male
tourist_exchange_rates,20210620,65+,Male
travel_fx_holiday_money,20210831,65+,NULL
will_i_get_my_holiday_money_back_tui_holidays,20210223,35-44,Female
can_foreign_currency_still_be_ordered_from_the_post_office,20210612,65+,Female
how_much_going_to_get_for_overtime_nhs_backdated,20210808,35-44,Female
single_currency_prepaid_travel_card,20211016,65+,Male
travel_money,20210902,55-64,Male
fourex_machines,20210311,55-64,Female
travelfx,20210305,45-54,Male
bank_of_england_exchange_rates,20210528,65+,Male
exchange_foreign_coins_for_sterling,20220104,65+,Male
tory_foreign_aid_rebels,20210613,65+,Male
travel_money_rates,20210805,45-54,Male
can_you_get_your_money_back_at_pontins_holidays,20210823,NULL,NULL
foreign_currency_exchange_rates,20211025,45-54,Female
revolut_euro_exchange_rate,20210915,NULL,Female
countries_that_receive_uk_aid_list,20211027,NULL,Male
currency_exchange_rates,20210626,65+,Male
is_there_a_threshold_of_overseas_interest_to_declare_uk_citizen,20211001,45-54,Male
travel_fx,20210330,65+,Male
travel_fx_holiday_money,20210506,65+,Male
uk_calculating_foreign_earnings_in_sterling_over_12_months,20210503,55-64,Female
best_dollar_exchange_rate,20210506,55-64,Male
money_expert_martin_lewis_on_travel_and_covid_testing,20210527,55-64,Female
prepaid_travel_money_card,20220124,NULL,NULL
buying_currency_baclays_staff,20211208,65+,Male
currency_exchange_rates,20211209,65+,Male
h_t_money_exchange_rates,20210502,55-64,Male
how_do_you_cover_cancellation_ahead_on_holiday_insurance,20210308,65+,Female
i_paid_822_to_travel_agent_7_days_before_rcl_cancelled_is_my_money_sitting_on_travel_agents_desk_what_happened_in_2020,20210201,65+,Female
travel_fx,20210909,65+,Male
travel_fx_holiday_money,20210722,45-54,Male
flights_to_goa,20211013,65+,Male
holiday_money,20210529,65+,Male
travel_money,20210305,55-64,Male
best_travel_money_rates,20211207,15-24,Male
taking_money_on_holiday_best_way,20211002,NULL,Female
travel_money,20211108,65+,Male
best_currency_exchange_rates_uk,20211126,NULL,NULL
travel_money,20211210,55-64,Male
harrods_exchange_rates_today,20210807,45-54,Male
how_to_speak_to_travel_fx,20211012,65+,Male
selling_rate_for_euro,20211104,65+,Female
chinese_man_sold_son,20210509,45-54,Female
lloyds_bank_travel_money,20210903,65+,Female
travel_money,20210224,45-54,Male
leftover_currency_exchange,20210625,55-64,Female
pakistan_forex_exchange_rates,20210207,55-64,Male
travel_agency_currency_exchange_rates,20210625,65+,Female
travel_fx,20210507,65+,Male
article_review_in_ethiopia_on_financial_management_of_foreign,20220111,35-44,Male
asic_greg_margon,20210911,NULL,NULL
best_holiday_exchange_rates,20210707,65+,Male
how_do_i_convert_french_frans_into_pounds_in1990,20210916,65+,Male
john_lewis_travel_money,20210914,65+,Male
travel_money_exchange,20211207,55-64,Male
lancaster_bus_passes_for_over_60,20210702,65+,Female
money_bureau_post_office_currency,20210518,65+,Male
travel_fx,20210519,65+,Male
holiday_currency_rates,20211019,65+,Male
money_saving_expert_best_currency_rates_for_euros,20210922,65+,Male
south_ribble_covid_19,20210612,55-64,Female
starling_bank_travel_card_prices,20210325,65+,Male
starling_card,20211110,65+,Male
compare_the_market_holidays,20210815,15-24,Male
currency_exchange_rates_today,20210205,55-64,Male
holiday_money_exchange_rates,20211024,65+,Male
lancashire_school_holidays_2022,20211115,NULL,Female
mse_travel_money,20210526,65+,Male
prague_currency,20211106,45-54,Female
travel_money_exchange,20210324,55-64,Male
uk_aid_2020,20210715,45-54,Male
euro_tourist_rate,20210919,65+,Male
john_ablett,20220126,65+,Male
best_currency_rate,20210726,45-54,Female
foreign_exchange_rates_comparison,20210512,65+,Male
holiday_exchange_rates,20210322,55-64,Male
lancaster_city_council_bus_passes_for_pensioners,20210818,65+,Female
travel_fx,20210917,65+,Male
best_exchange_rates,20211022,NULL,Male
countries_that_receive_aid_from_the_uk,20210214,65+,Male
do_morrisons_do_foreign_currency,20210728,65+,Male
pound_rate_in_pakistan,20210308,35-44,Male
ratefx,20210324,35-44,Male
starling_debit_cards,20210518,65+,Female
travel_fx,20210216,65+,Male
travel_fx_holiday_money,20220109,NULL,Male
us_stirling_exchange_rate,20210201,45-54,Female
monopoly_uk_mcdonalds,20210828,25-34,Female
patel_taxpayer_money_to_israel_sacked,20210502,65+,Male
