query,date,age,gender
cheap_cruise_cover_covid,20211007,55-64,Male
cheapest_holiday_insurance,20211122,65+,Male
holiday_insurance,20210920,65+,NULL
money_intention_services_travel_insurance_with_medical_conditions,20210412,65+,Male
staysure_holiday_insurance,20210505,65+,Female
travel_revue_rbs,20220110,65+,Male
whichcouk_travel_insurance,20210919,35-44,Male
avivabarclays_travel_proof_form_for_travel,20210824,65+,Female
axa_anual_travel_insurance,20210710,65+,Female
coverwise_travel_insurance,20211126,NULL,Male
nationwide_flexi_insurance,20220115,65+,Male
rias,20210806,65+,Female
avanti_travel_insurance,20211111,65+,Male
coverwise_insurance,20220113,55-64,Female
ehicsexpandtravelinsurance,20210216,65+,Female
lloyds_platinum_insurance_cover,20211104,65+,Female
nationwide_bank_travel_insurance,20211112,45-54,Female
nationwide_travel_insurance_with_flex_account,20211218,55-64,Female
pictures_of_peninsular_hotel_hong_kong,20210827,65+,NULL
wwwnationwidecouktravelflexplus,20220111,55-64,Male
cheap_trip_cancellation_insurance,20220115,65+,Male
insurance_holiday_covid_cover_travel_insurance_money_expert,20220128,NULL,Male
john_lewis_travel_insurance,20210711,65+,Female
martin_lewis_advice_on_travel_insurance,20211106,65+,Male
rias,20210729,35-44,Female
what_travel_insurance_is_okay_with_po,20210608,65+,Female
churchill_holiday_insurance,20211225,NULL,Male
cover_against_fcdo_changing_from_green_to_red,20211006,45-54,Male
ehicplus,20211105,NULL,Male
travel_insurance,20211004,65+,Male
best_holiday_insurance_for_over_65,20220101,65+,Female
compare_the_market_travel_insurance,20220116,65+,Male
does_nationwide_travel_insurance_cover_covid,20210831,65+,Male
jd_travel_insurance,20210807,45-54,Female
lloydsbankavatravelinsurance,20210902,65+,Female
nationwide_travel_insurance_with_flex_account,20220119,NULL,Male
allclear_travel_insurance_trust_piolet,20211123,55-64,Male
can_i_extention_holiday_insurance_once_im_on_holiday,20220120,NULL,Male
do_you_need_holiday_insurance_if_you_are_holidaying_in_england,20210303,65+,Male
does_travel_insurance_to_europe_include_the_uk,20211224,25-34,Male
nationwide_travel_insurance_with_flex_account,20210906,65+,Female
travel_insurance_with_full_covid_cover,20210911,55-64,Male
avanti_travel_insurance,20211117,65+,Male
contact_travel_insurance_with_my_nationwide_bank_acc,20211202,65+,Male
insure_go_travel_insurance,20210503,35-44,NULL
post_office_travel_insurance,20210217,35-44,Male
travel_insurance_to_amber_countries_from_uk_to_usa,20210616,65+,Male
what_protection_do_i_get_if_i_book_jet2_flights_for_this_summer,20210219,15-24,Female
flights_to_dubai_from_east_midlands_airport,20210610,NULL,Female
gotoriascouk3fk1ym7,20211009,55-64,Female
travel_pack_barclays_cruise_cover,20211011,65+,Female
best_cruise_insurance,20220111,25-34,Male
difference_between_ehic_and_ghic,20210408,65+,Female
